product_name,product_price,product_date,product_site,product_url
"Placa de Vídeo AFox GeForce GT 730, 4GB, GDDR3, 128bit, AF730-4096D3L6",489.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/17915/placa-de-video-afox-geforce-gt-730-4gb-gddr3-128bit-af730-4096d3l6
"Placa de Vídeo MSI NVIDIA GeForce GTX 1050 Ti 4GT, OC, 4GB, Dual Fan, GDDR5, 912-V809-2272",1149.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/9789/placa-de-video-msi-geforce-gtx-1050-ti-4gt-oc-4gb-dual-fan-gddr5-pci-exp-912-v809-2272-i
"Placa de Vídeo SuperFrame GeForce GTX 1050 Ti, 4GB, GDDR5, 128bit, AX-GTX1050TI/4GD5P8DIP",1099.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/20962/placa-de-video-superframe-geforce-gtx-1050-ti-4gb-gddr5-128bit
"Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti, TWIN FAN 8G OC LHR, GDDR6, DLSS, Ray Tracing, 912-V809-387",2999.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/21586/placa-de-video-msi-nvidia-geforce-rtx-3060-ti-twin-fan-8g-oc-lhr-gddr6-dlss-ray-tracing
"Placa de Video Afox GeForce GT710, 2GB, DDR3, AF710-2048D3L5",359.99,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22119/placa-de-video-afox-geforce-gt710-2gb-ddr3-af710-2048d3l5
"Placa De Vídeo Afox GeForce GT 220, 1GB, DDR3, 128Bits, AF220-1024D3L2",208.99,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22044/placa-de-video-afox-gt-220-1gb-ddr3-128bits-af220-1024d3l2
"Placa de Video AFOX, GeForce, GTX 750 Ti, 4GB GDDR5, 128Bit, AF750TI-4096D5H1-V2",939.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22045/placa-de-video-afox-geforce-gtx-750ti-4gb-gddr5-128bit-af750ti-4096d5h1-v2
"Placa De Vídeo Afox GeForce GT 740, 4GB, DDR5, 128bits, AF740-4096D5H2-V2",699.99,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22047/placa-de-video-afox-geforce-gt-740-4gb-ddr5-128bits-af740-4096d5h2-v2
"Placa de Video AFOX GeForce GTX 750 Ti, 4GB, GDDR5, 128Bit, AF750TI-4096D5H1",947.9,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22048/placa-de-video-afox-geforce-gtx-750ti-4gb-gddr5-128bit-af750ti-4096d5h1
"Placa de Vídeo Asus Phoenix NVIDIA GeForce GTX 1630, 4GB, GDDR6, 64bit, 90YV0I50-M0NA00",1219.0,2022-10-25,https://www.terabyteshop.com.br/hardware/placas-de-video/nvidia-geforce,https://www.terabyteshop.com.br/produto/22034/placa-de-video-asus-phoenix-nvidia-geforce-gtx-1630-4gb-gddr6-64bit-90yv0i50-m0na00
